,CATEGORY,SECTION,REGION,NAME,SCORE,SCORE_REVIEW,REVIEW,LINK,ADDRESS,lat,lng,IMG
33,FOOD,A,제주시,명물식당,3.5,12건,8,https://place.map.kakao.com/23149701,"
제주특별자치도 제주시 탑동로11길 2-1 1,2층
(지번) 삼도이동 1167-4
",33.5166654,126.517019,0
34,FOOD,A,제주시,이노찌,4.3,18건,17,https://place.map.kakao.com/1274142140,"
제주특별자치도 제주시 전농로 77 1층
(지번) 삼도2동 594-5
",33.5045445,126.5215251,http://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F86F052438FC04BCFB58DE47140F7AB1B
35,FOOD,A,제주시,엘리펀트힙,4.1,15건,47,https://place.map.kakao.com/1239134112,"
제주특별자치도 제주시 탑동로 20 1층
(지번) 삼도이동 1261-11
",33.5175324,126.5228745,http://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F1B3F945D343144708FA9225FA6D00C24
36,FOOD,A,제주시,동고량,3.2,5건,46,https://place.map.kakao.com/786558974,"
제주특별자치도 제주시 중앙로8길 9 1층
(지번) 삼도2동 22-2
",33.5146057,126.523838,http://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F6802D2D0306344CDA9B2EC36420E66A6
37,FOOD,A,제주시,산도위치 제주본점,4.3,26건,19,https://place.map.kakao.com/34312312,"
제주특별자치도 제주시 북성로 64
(지번) 삼도이동 1161-14
",33.5155299,126.5180361,http://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F3679363CCD7149A895EE9D0CC41261C4
38,FOOD,A,제주시,와르다레스토랑,4.7,46건,34,https://place.map.kakao.com/479083786,"
제주특별자치도 제주시 관덕로8길 24-1
(지번) 삼도2동 148-3
",33.5110266,126.523168,http://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FCA8AAC235EBF4C6085D649FE9438E86C
39,FOOD,A,제주시,카페단단,4.9,39건,35,https://place.map.kakao.com/165691434,"
제주특별자치도 제주시 관덕로4길 1-6
(지번) 삼도이동 977-2
",33.5125846,126.5216649,http://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F9A98F41C5D6C4A7092E807C571EF15C5
40,FOOD,A,제주시,베터플랫,3.8,10건,33,https://place.map.kakao.com/1867906481,"
제주특별자치도 제주시 탑동해안로 74 1층
(지번) 삼도이동 1260-1
",33.5182319,126.5231737,http://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F1CD109E60850441DB3E6698BCECCE084
41,FOOD,A,제주시,만사오케이,4.8,13건,37,https://place.map.kakao.com/366324762,"
제주특별자치도 제주시 전농로 81 1층
(지번) 삼도이동 593-12
",33.5045029,126.5219638,http://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2Fsearchregister_2139034120
42,FOOD,A,제주시,서문뒷고기,4.1,14건,17,https://place.map.kakao.com/12332746,"
제주특별자치도 제주시 중앙로14길 40-2
(지번) 삼도2동 821-2
",33.5107686,126.5204355,http://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F3C1A86247BAB4E80A5D0334116D54B4A
43,FOOD,A,제주시,아살람레스토랑,4.8,63건,29,https://place.map.kakao.com/312026789,"
제주특별자치도 제주시 중앙로2길 7 1층
(지번) 삼도이동 1-2
",33.516944,126.5224821,0
44,FOOD,A,제주시,올리다버거,5.0,29건,21,https://place.map.kakao.com/2030935408,"
제주특별자치도 제주시 남성로 154-6 1, 2층
(지번) 삼도이동 809-3
",33.5087718,126.5217319,http://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FF71ECA46B3484AAFAAF322ECCFF5D9BC
45,FOOD,A,제주시,옛날홍가네칼국수,3.6,8건,13,https://place.map.kakao.com/21454159,"
제주특별자치도 제주시 전농로 113
(지번) 삼도이동 303-9
",33.5046406,126.5251996,0
